Symbol,Currency,Name,ISIN,Date,Open,High,Low,Close,Volume,Turnover
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-05-28,8.21,8.48,8.21,8.48,199800,1656429
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-05-29,8.5,8.515,8.35,8.515,330500,2793618
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-05-30,8.67,8.7,8.48,8.49,140500,1205598
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-02,8.66,8.7,8.6,8.695,45300,393095
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-03,8.7,8.81,8.7,8.795,407400,3565916
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-04,9.07,9.07,8.93,9.025,712300,6394644
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-05,9.635,9.655,9.255,9.455,294700,2810405
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-06,9.455,9.5,9.435,9.5,118600,1121344
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-09,9.77,9.815,9.55,9.63,116100,1127265
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-10,9.72,9.72,9.35,9.38,100600,950124
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-11,9.52,9.665,9.51,9.595,237000,2266805
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-12,9.605,9.605,9.4,9.46,163900,1552221
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-13,9.155,9.185,8.98,9.06,57100,518590
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-16,9.06,9.06,8.71,8.83,282300,2489507
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-17,9.15,9.285,9.01,9.03,68800,630422
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-18,9.365,9.55,9.36,9.56,8100,77080
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-19,9.555,9.555,9.41,9.43,100000,945145
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-20,9.47,9.57,9.42,9.475,50200,477110
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-23,8.995,9.08,8.96,9.11,335500,3025829
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-24,9.625,9.79,9.55,9.78,83200,808085
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-25,9.78,10.07,9.755,10.01,58700,581860
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-26,10.01,10.01,9.6,9.625,118700,1145676
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-27,9.745,10.17,9.745,9.92,318100,3227015
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-06-30,9.88,9.88,9.6,9.815,45600,445069
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-02,9.815,9.91,9.69,9.925,115600,1128997
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-03,10.44,11.11,10.39,10.93,265700,2840300
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-04,10.98,11.0,10.7,10.72,88200,962258
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-07,10.98,10.98,10.19,10.19,82100,851498
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-08,10.19,10.19,9.93,10.13,175500,1769546
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-09,9.755,9.81,9.75,9.76,31300,305726
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-10,9.905,9.975,9.85,9.94,153200,1519161
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-11,10.49,10.5,10.3,10.3,171900,1799860
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-14,10.25,10.41,10.15,10.41,97400,1000303
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-15,10.65,10.75,10.59,10.75,152800,1634432
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-16,10.91,11.03,10.82,10.97,154900,1705078
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-17,11.33,11.82,11.32,11.74,426200,4924384
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-18,11.84,12.0,11.6,11.71,140600,1662967
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-21,12.07,12.21,12.07,12.18,155500,1893342
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-22,11.9,11.97,11.4,11.54,116300,1346630
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-23,11.34,11.64,11.34,11.63,93500,1080295
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-24,11.62,11.76,11.48,11.51,25800,298260
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-25,11.5,11.51,11.4,11.4,73400,843761
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-28,12.19,12.97,11.98,12.97,97000,1233986
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-29,12.88,13.11,12.8,12.92,232500,3000611
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-30,13.4,14.15,13.4,13.7,109600,1529557
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-07-31,13.49,13.63,13.14,13.31,153500,2055035
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-08-01,13.31,13.31,12.36,12.37,272200,3495253
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-08-04,12.69,12.82,12.65,12.81,51400,653766
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-08-05,12.78,12.9,12.7,12.74,54100,690942
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-08-06,12.33,12.46,12.3,12.41,46800,579965
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2025-08-07,13.02,13.03,12.81,12.96,76000,987049
