Symbol,Currency,Name,ISIN,Date,Open,High,Low,Close,Volume,Turnover
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-02,100.35,103.75,97.2,97.98,5931372,594990114
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-03,96.96,97.02,79.94,82.32,20564046,1781009419
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-04,77.8,77.8,61.0,67.0,35350991,2401066093
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-05,77.04,81.48,73.52,76.6,21527868,1661127881
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-06,69.64,74.38,68.22,72.5,8613639,616735926
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-09,61.64,64.08,57.0,63.34,26830205,1614440762
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-10,72.84,74.72,69.18,72.2,16657843,1202263101
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-11,75.04,76.7,71.32,72.2,10879971,808714580
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-12,71.64,72.4,69.9,72.18,6218612,442743044
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-13,68.48,70.18,67.64,68.16,7426782,508445005
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-16,69.78,73.12,68.22,73.12,15730494,1111905340
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-17,77.64,78.68,74.26,74.5,11293354,866812630
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-18,84.56,87.88,83.34,86.94,11008844,940853858
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-19,80.68,84.26,79.62,80.3,12065550,985180789
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-20,80.64,81.88,78.5,79.12,7557030,606618452
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-23,71.04,72.5,67.6,67.88,10067844,707653453
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-24,69.0,74.08,68.24,73.24,12281849,874560969
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-25,76.0,76.48,70.5,71.96,7953579,585867567
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-26,66.4,66.6,63.18,64.44,6468683,419260881
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-27,59.5,65.2,58.64,63.2,9960047,616561707
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-30,59.0,61.88,58.62,61.42,7068579,425941352
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-03-31,56.96,60.3,54.12,55.06,21535945,1234551621
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-01,63.3,70.96,63.3,69.14,12715922,859200811
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-02,69.42,69.42,59.44,62.7,11016883,689757928
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-08,72.1,87.0,72.1,84.48,17709537,1486379959
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-09,79.62,80.12,77.9,79.0,8225136,650664650
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-10,83.7,84.36,80.16,80.94,9986082,822437012
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-13,78.4,78.44,75.9,77.48,8131460,626302750
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-14,82.32,83.7,80.5,81.6,9618351,790161584
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-15,87.68,87.7,82.76,83.16,8563858,732638674
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-16,85.18,90.0,85.18,89.76,7476118,662674215
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-17,88.48,89.96,87.2,88.54,4329712,383732230
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-20,88.52,90.48,86.68,87.38,5066307,448528169
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-21,90.0,90.78,88.16,90.4,5333047,478365757
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-22,89.98,89.98,87.54,89.0,4218602,374556516
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-23,97.88,98.26,87.72,92.76,14310330,1340964088
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-24,90.8,91.62,88.2,90.58,4579824,412827368
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-27,93.6,95.92,92.32,93.4,7480743,703043354
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-28,95.14,95.56,91.3,91.3,6119954,569702569
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-29,90.36,96.9,89.6,94.92,8872218,830298043
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-04-30,96.64,96.64,90.68,92.24,6166123,579674443
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-04,96.2,102.85,96.2,100.85,22172662,2198871026
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-05,100.15,103.8,99.1,103.8,5565205,568179383
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-06,119.35,133.45,119.35,130.0,19413760,2491415684
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-07,127.0,139.0,124.1,138.5,17766757,2348258932
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-08,132.0,138.95,125.65,138.95,20428697,2649026721
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-11,147.55,151.6,146.15,147.1,26052875,3886529930
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-12,147.0,147.0,128.3,140.2,27316887,3781813782
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-13,136.45,149.8,136.45,149.4,16390960,2348877473
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-14,162.0,162.0,151.7,155.6,12199839,1915347899
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-15,151.0,152.25,125.8,136.55,19872299,2747214775
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-18,136.0,147.7,135.0,141.9,19647916,2786173516
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-19,129.9,140.9,125.25,138.35,19763193,2618952095
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-20,136.05,141.9,124.4,138.85,18159542,2396453771
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-21,152.65,158.9,150.0,153.9,18409796,2830529990
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-22,153.7,154.65,149.7,152.1,9155865,1392837631
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-26,164.0,164.0,156.6,157.4,10611451,1685968027
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-27,177.45,182.7,165.15,167.6,22035850,3857075033
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-28,162.0,162.5,146.6,158.45,13910174,2172300591
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-05-29,170.1,181.1,168.7,177.15,19489374,3408958029
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-01,201.3,219.3,201.3,218.6,15966525,3377247513
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-02,222.7,231.5,208.9,225.3,18772941,4126536101
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-03,236.0,243.1,233.4,238.5,8737459,2086628228
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-04,225.0,225.3,212.5,214.8,19136670,4176326832
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-05,182.6,205.2,179.45,185.9,27894772,5317106915
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-08,159.95,169.75,140.05,154.3,49834680,7691415686
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-09,151.5,176.25,151.5,168.8,29943338,4858339736
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-10,156.85,156.85,141.2,148.5,26793312,4000986941
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-11,147.25,152.1,139.6,147.4,21328518,3075523977
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-12,169.5,181.8,156.3,166.0,30801775,5298160527
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-15,182.8,187.0,179.15,187.0,12743569,2325330014
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-16,180.5,189.65,180.5,187.5,11356148,2104057241
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-17,180.0,196.5,178.0,193.0,15023655,2824396754
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-18,197.55,213.3,193.0,209.1,17530532,3543391205
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-22,211.4,212.3,194.0,203.5,24818324,5036101145
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-23,187.35,187.35,143.95,154.1,37487903,6186741467
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-24,167.1,179.55,155.55,179.55,33190582,5622070777
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-25,198.0,202.5,193.3,197.25,17459942,3465816614
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-26,185.85,185.85,156.35,176.35,21895678,3723264846
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-29,159.95,168.35,151.7,158.0,15845595,2532954747
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-06-30,162.15,177.45,161.6,167.5,10010780,1696194092
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-07-02,142.4,142.4,115.7,123.0,31547054,3997245578
7747.HK,HKD,CSOP Samsung Electronics Daily (2x) Leveraged Product,HK0001121349,2026-07-03,127.5,141.7,127.0,137.25,27934488,3785777667
